"";"title";"Awards"
"550";"Raiders of the Lost Ark";"4 (1)"
"551";"Reds";"3"
"552";"On Golden Pond";"3"
"553";"Arthur";"2"
"554";"An American Werewolf in London";"1"
"555";"Close Harmony";"1"
"556";"Crac";"1"
"557";"Genocide";"1"
"558";"Mephisto";"1"
"559";"Violet";"1"
"560";"Ordinary People";"4"
"561";"Tess";"3"
"562";"Raging Bull";"2"
"563";"Fame";"2"
"564";"Melvin and Howard";"2"
"565";"Coal Miner's Daughter";"1"
"566";"The Empire Strikes Back";"1 (1)"
"567";"The Dollar Bottom";"1"
"568";"The Fly (A Légy)";"1"
"569";"From Mao to Mozart: Isaac Stern in China";"1"
"570";"Karl Hess: Toward Liberty";"1"
"571";"Moscow Does Not Believe in Tears";"1"
"572";"Kramer vs. Kramer";"5"
"573";"All That Jazz";"4"
"574";"Apocalypse Now";"2"
"575";"Norma Rae";"2"
"576";"Breaking Away";"1"
"577";"Alien";"1"
"578";"Being There";"1"
"579";"A Little Romance";"1"
"580";"Best Boy";"1"
"581";"Board and Care";"1"
"582";"Every Child";"1"
"583";"Paul Robeson: Tribute to an Artist";"1"
"584";"The Tin Drum (Die Blechtrommel)";"1"
"585";"The Black Stallion";"0 (1)"
"586";"The Deer Hunter";"5"
"587";"Coming Home";"3"
"588";"Midnight Express";"2"
"589";"Heaven Can Wait";"1"
"590";"Days of Heaven";"1"
"591";"California Suite";"1"
"592";"The Buddy Holly Story";"1"
"593";"Death on the Nile";"1"
"594";"The Flight of the Gossamer Condor";"1"
"595";"Get Out Your Handkerchiefs (Préparez vos mouchoirs)";"1"
"596";"Scared Straight!";"1"
"597";"Special Delivery";"1"
"598";"Teenage Father";"1"
"599";"Thank God It's Friday";"1"
"600";"Superman";"0 (1)"
"601";"Annie Hall";"4"
"602";"Star Wars";"6 (1)"
"603";"Julia";"3"
"604";"Close Encounters of the Third Kind";"1 (1)"
"605";"The Goodbye Girl";"1"
"606";"A Little Night Music";"1"
"607";"Gravity Is My Enemy";"1"
"608";"I'll Find a Way";"1"
"609";"Madame Rosa (La Vie devant soi)";"1"
"610";"The Sand Castle (Le Château de sable)";"1"
"611";"Who Are the DeBolts? And Where Did They Get Nineteen Kids?";"1"
"612";"You Light Up My Life";"1"
"613";"Rocky";"3"
"614";"Network";"4"
"615";"All the President's Men";"4"
"616";"Bound for Glory";"2"
"617";"A Star Is Born";"1"
"618";"Fellini's Casanova (Il Casanova di Federico Fellini)";"1"
"619";"The Omen";"1"
"620";"Black and White in Color (Noirs et blancs en couleur)";"1"
"621";"Harlan County, USA";"1"
"622";"In the Region of Ice";"1"
"623";"Leisure";"1"
"624";"Number Our Days";"1"
"625";"King Kong";"0 (1)"
"626";"Logan's Run";"0 (1)"
"627";"One Flew over the Cuckoo's Nest";"5"
"628";"Barry Lyndon";"4"
"629";"Jaws";"3"
"630";"Dog Day Afternoon";"1"
"631";"Nashville";"1"
"632";"Shampoo";"1"
"633";"The Sunshine Boys";"1"
"634";"Angel and Big Joe";"1"
"635";"Dersu Uzala";"1"
"636";"The End of the Game";"1"
"637";"Great (Great (Isambard Kingdom Brunel))";"1"
"638";"The Man Who Skied Down Everest";"1"
"639";"The Hindenburg";"0 (2)"
"640";"The Godfather Part II";"6"
"641";"The Towering Inferno";"3"
"642";"The Great Gatsby";"2"
"643";"Chinatown";"1"
"644";"Murder on the Orient Express";"1"
"645";"Earthquake";"1 (1)"
"646";"Alice Doesn't Live Here Anymore";"1"
"647";"Amarcord";"1"
"648";"Harry and Tonto";"1"
"649";"Closed Mondays";"1"
"650";"Don't";"1"
"651";"Hearts and Minds";"1"
"652";"One-Eyed Men Are Kings (...borgnes sont rois, Les)";"1"
"653";"The Sting";"7"
"654";"The Exorcist";"2"
"655";"The Way We Were";"2"
"656";"Cries and Whispers (Viskningar och rop)";"1"
"657";"A Touch of Class";"1"
"658";"Day for Night (La Nuit américaine)";"1"
"659";"Paper Moon";"1"
"660";"The Paper Chase";"1"
"661";"Save the Tiger";"1"
"662";"The Bolero";"1"
"663";"Frank Film";"1"
"664";"The Great American Cowboy";"1"
"665";"Princeton: A Search for Answers";"1"
"666";"The Godfather";"3"
"667";"Cabaret";"8"
"668";"The Poseidon Adventure";"1 (1)"
"669";"Travels with My Aunt";"1"
"670";"Butterflies Are Free";"1"
"671";"The Candidate";"1"
"672";"The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie)";"1"
"673";"A Christmas Carol";"1"
"674";"Limelight";"1"
"675";"Marjoe";"1"
"676";"Norman Rockwell's World... An American Dream";"1"
"677";"This Tiny World";"1"
"678";"The French Connection";"5"
"679";"Fiddler on the Roof";"3"
"680";"The Last Picture Show";"2"
"681";"Nicholas and Alexandra";"2"
"682";"Sentinels of Silence";"2"
"683";"Bedknobs and Broomsticks";"1"
"684";"Summer of '42";"1"
"685";"The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini)";"1"
"686";"The Hospital";"1"
"687";"Klute";"1"
"688";"Shaft";"1"
"689";"The Crunch Bird";"1"
"690";"The Hellstrom Chronicle";"1"
"691";"Patton";"7"
"692";"Ryan's Daughter";"2"
"693";"Airport";"1"
"694";"Love Story";"1"
"695";"M*A*S*H";"1"
"696";"Tora! Tora! Tora!";"1"
"697";"Women in Love";"1"
"698";"Lovers and Other Strangers";"1"
"699";"Woodstock";"1"
"700";"Cromwell";"1"
"701";"Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto)";"1"
"702";"Interviews with My Lai Veterans";"1"
"703";"Is It Always Right to Be Right?";"1"
"704";"Let It Be";"1"
"705";"The Resurrection of Broncho Billy";"1"
"706";"Midnight Cowboy";"3"
"707";"Butch Cassidy and the Sundance Kid";"4"
"708";"Hello, Dolly!";"3"
"709";"Z";"2"
"710";"Anne of the Thousand Days";"1"
"711";"They Shoot Horses, Don't They?";"1"
"712";"Marooned";"1"
"713";"The Magic Machines";"1"
"714";"The Prime of Miss Jean Brodie";"1"
"715";"True Grit";"1"
"716";"Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein)";"1"
"717";"Cactus Flower";"1"
"718";"Czechoslovakia 1968";"1"
"719";"It's Tough to Be a Bird";"1"
"720";"Oliver!";"5 (1)"
"721";"The Lion in Winter";"3"
"722";"Romeo and Juliet";"2"
"723";"Funny Girl";"1"
"724";"2001: A Space Odyssey";"1"
"725";"Bullitt";"1"
"726";"The Producers";"1"
"727";"Rosemary's Baby";"1"
"728";"The Subject Was Roses";"1"
"729";"The Thomas Crown Affair";"1"
"730";"War and Peace (Voyna i mir)";"1"
"731";"Charly";"1"
"732";"Journey into Self";"1"
"733";"Robert Kennedy Remembered";"1"
"734";"Why Man Creates";"1"
"735";"Winnie the Pooh and the Blustery Day";"1"
"736";"Planet of the Apes";"0 (1)"
"737";"In the Heat of the Night";"5"
